Combined,AJDEM,ADJOE,ADJDE,,D1,AJDEM,ADJOE,ADJDE,,D2,AJDEM,ADJOE,ADJDE,,D3,AJDEM,ADJOE,ADJDE
Drexel,0.2204,1.1653,0.9449,,Furman,0.0683,1.1053,1.037,,Fla. Southern,0.0249,1.0864,1.0615,,Brevard,0.0995,1.1752,1.0757
Kent St.,0.2188,1.0976,0.8788,,Texas,0.068,1.1555,1.0875,,Virginia Union,0.0244,0.9872,0.9628,,Monmouth (IL),0.0989,1.0558,0.9569
Northern Colo.,0.2187,1.1685,0.9498,,Washington,0.0674,0.9968,0.9294,,Wayne St. (MI),0.0239,1.3031,1.2792,,Colorado Col.,0.0978,1.1203,1.0225
Grand Canyon,0.2151,1.2953,1.0802,,Miami (FL),0.0634,1.2392,1.1758,,Point Loma,0.0207,1.1836,1.1629,,Huntingdon,0.0974,0.9924,0.895
DeSales,0.2086,1.3313,1.1227,,Hawaii,0.0588,1.1941,1.1353,,New Haven,0.0191,1.0592,1.0401,,Salve Regina,0.0962,1.0737,0.9775
SIUE,0.2079,1.0257,0.8178,,Tennessee St.,0.0542,1.0824,1.0282,,Northeastern St.,0.019,1.1611,1.1421,,North Central (MN),0.0909,1.0857,0.9948
Ill. Wesleyan,0.206,1.2018,0.9958,,California,0.0498,1.1303,1.0805,,Saginaw Valley,0.0189,1.1156,1.0967,,Westminster (PA),0.0904,1.0077,0.9173
Winona St.,0.2049,1.1813,0.9764,,Eastern Ky.,0.0498,1.0993,1.0495,,Academy of Art,0.0188,1.056,1.0372,,Plymouth St.,0.0902,0.9168,0.8266
Furman,0.2037,1.1001,0.8964,,UNCW,0.0497,1.1319,1.0822,,Newberry,0.0167,1.1309,1.1142,,Bethany (WV),0.0901,1.198,1.1079
Catholic,0.2037,1.3369,1.1332,,Rice,0.049,1.1053,1.0563,,Ga. Southwestern,0.0148,1.1293,1.1145,,Suffolk,0.0878,1.218,1.1302
Cal Lutheran,0.2004,1.0546,0.8542,,San Jose St.,0.0471,1.0916,1.0445,,Embry-Riddle (FL),0.0124,0.9824,0.97,,Centre,0.0876,1.1944,1.1068
Montclair St.,0.1996,1.3867,1.1871,,Col. of Charleston,0.047,1.0911,1.0441,,Cedarville,0.0117,1.1368,1.1251,,Pacific Lutheran,0.0846,0.9586,0.874
Washburn,0.1987,1.2299,1.0312,,Providence,0.0456,1.0493,1.0037,,Clayton St.,0.0095,1.1144,1.1049,,Central (IA),0.0843,1.2198,1.1355
Arizona St.,0.1986,1.0911,0.8925,,South Dakota,0.0409,1.1265,1.0856,,Angelo St.,0.0088,1.0399,1.0311,,Delaware Valley,0.084,1.0013,0.9173
NYU,0.1969,1.2016,1.0047,,Syracuse,0.0364,1.0441,1.0077,,Post,0.0085,1.1145,1.106,,Oberlin,0.0835,1.0342,0.9507
Alabama Huntsville,0.1968,1.249,1.0522,,Western Ky.,0.0341,0.9838,0.9497,,Limestone,0.0074,1.148,1.1406,,La Roche,0.0833,1.0966,1.0133
Millersville,0.1963,1.2863,1.09,,Kennesaw St.,0.0332,0.9922,0.959,,Stanislaus St.,0.0031,1.0671,1.064,,Hood,0.0809,1.0962,1.0153
Susquehanna,0.1944,1.1747,0.9803,,Winthrop,0.0322,1.0109,0.9787,,Okla. Christian,0.0029,1.0874,1.0845,,Western New Eng.,0.08,1.1211,1.0411
SFA,0.1911,1.1182,0.9271,,Montana,0.0317,1.062,1.0303,,Truman St.,0.0023,1.2246,1.2223,,Neb. Wesleyan,0.0796,1.0718,0.9922
Baylor,0.1911,1.2231,1.032,,South Carolina,0.0312,1.1427,1.1115,,Clark Atlanta,-0.0015,0.9557,0.9572,,Marian (WI),0.0771,1.0061,0.929
Drury,0.1891,1.0955,0.9064,,Cal Poly,0.0243,1.1847,1.1604,,Tex. A&M-Kingsville,-0.0033,0.9394,0.9427,,Elmhurst,0.0764,1.103,1.0266
Widener,0.188,1.0442,0.8562,,UT Arlington,0.0207,1.192,1.1713,,Morehouse,-0.0058,1.0955,1.1013,,Coe,0.0752,1.0757,1.0005
George Washington,0.1865,1.155,0.9685,,Purdue Fort Wayne,0.0205,1.135,1.1145,,Slippery Rock,-0.0061,0.9484,0.9545,,Johns Hopkins,0.0747,1.0472,0.9725
Trinity (CT),0.1841,1.0894,0.9053,,Missouri,0.0174,1.1554,1.138,,West Chester,-0.0084,1.0702,1.0786,,Moravian,0.0745,1.0589,0.9844
Milwaukee,0.1838,1.3205,1.1367,,N.C. A&T,0.0165,1.0998,1.0833,,Westmont,-0.0118,1.1834,1.1952,,Wabash,0.0741,1.2605,1.1864
Roanoke,0.1837,1.1675,0.9838,,A&M-Corpus Christi,0.0151,1.1667,1.1516,,Staten Island,-0.0129,1.0296,1.0425,,SUNY Oneonta,0.0737,1.2581,1.1844
Lipscomb,0.183,1.1708,0.9878,,Hofstra,0.0141,1.0096,0.9955,,Francis Marion,-0.0134,1.0413,1.0547,,Oglethorpe,0.0731,1.1291,1.056
Assumption,0.1822,1.0915,0.9093,,Grambling,0.013,0.9167,0.9037,,Glenville St.,-0.0141,1.0126,1.0267,,Olivet,0.0716,0.9424,0.8708
Minnesota,0.1818,1.0455,0.8637,,Bryant,0.0092,1.1068,1.0976,,Pittsburg St.,-0.0146,1.0559,1.0705,,Wheaton (MA),0.0705,1.0084,0.9379
Santa Clara,0.1805,1.2567,1.0762,,Arkansas St.,0.0064,1.0022,0.9958,,Claflin,-0.0157,1.2841,1.2998,,Grove City,0.069,0.9794,0.9104
Western Caro.,0.1805,1.1583,0.9778,,Norfolk St.,0.0043,1.182,1.1777,,Azusa Pacific,-0.0166,1.1064,1.123,,Framingham St.,0.0687,0.9515,0.8828
Lincoln Memorial,0.1803,1.3009,1.1206,,Fresno St.,0.0035,0.9887,0.9852,,Eastern N.M.,-0.0167,1.0081,1.0248,,Gettysburg,0.0683,1.0741,1.0058
Dominican (NY),0.1788,0.9929,0.8141,,Vermont,-0.0012,0.9953,0.9965,,Southern Conn. St.,-0.0181,1.0315,1.0496,,Spalding,0.0661,0.9436,0.8775
Wis.-La Crosse,0.1782,1.1346,0.9564,,Seton Hall,-0.0015,0.8939,0.8954,,Augustana (SD),-0.0195,1.0142,1.0337,,Wartburg,0.0659,1.2355,1.1696
Syracuse,0.1769,1.091,0.9141,,California Baptist,-0.0017,1.1254,1.1271,,Albany St. (GA),-0.0223,1.0314,1.0537,,Fitchburg St.,0.0654,1.0738,1.0084
Stanford,0.1768,1.098,0.9212,,Buffalo,-0.0034,1.1333,1.1367,,Gannon,-0.0233,1.0681,1.0914,,SUNY Brockport,0.06,1.0166,0.9566
Arkansas St.,0.1749,1.1221,0.9472,,Akron,-0.0051,1.1074,1.1125,,Mars Hill,-0.0234,0.9575,0.9809,,Sarah Lawrence,0.0587,0.9801,0.9214
Upper Iowa,0.1726,1.0453,0.8727,,Weber St.,-0.0059,0.9747,0.9806,,Trevecca Nazarene,-0.0244,0.9908,1.0152,,Crown (MN),0.0573,1.0465,0.9892
Boston College,0.1704,1.1087,0.9383,,Towson,-0.0084,0.9733,0.9817,,Indiana (PA),-0.0253,1.0516,1.0769,,Yeshiva,0.0548,1.1144,1.0596
Massachusetts,0.17,1.1375,0.9675,,Southern Utah,-0.0085,1.0149,1.0234,,Point Park,-0.0264,1.0348,1.0612,,Wis.-Oshkosh,0.0543,0.9373,0.883
Saint Mary's (CA),0.1667,1.1752,1.0085,,UAB,-0.0094,1.0956,1.105,,Allen,-0.0269,1.0303,1.0572,,Endicott,0.0529,0.9535,0.9006
FGCU,0.1659,1.1424,0.9765,,Troy,-0.0213,1.0328,1.0541,,St. Thomas Aquinas,-0.0309,0.9769,1.0078,,Buena Vista,0.0527,1.1584,1.1057
Eastern Ky.,0.1659,1.1801,1.0142,,South Alabama,-0.0244,1.009,1.0334,,Southern N.H.,-0.0335,1.0203,1.0538,,Me.-Presque Isle,0.052,0.7658,0.7138
St. Mary's (TX),0.1659,1.1002,0.9343,,UT Martin,-0.0272,0.9814,1.0086,,Central Wash.,-0.0337,0.9267,0.9604,,Bridgewater St.,0.0515,0.9557,0.9042
Swarthmore,0.1656,1.1611,0.9955,,Central Mich.,-0.0281,1.0693,1.0974,,USC Beaufort,-0.0349,1.0815,1.1164,,Puget Sound,0.048,1.1705,1.1225
A&M-Corpus Christi,0.1654,1.2214,1.056,,Wichita St.,-0.0282,1.0093,1.0375,,N.M. Highlands,-0.0354,1.235,1.2704,,UMass Dartmouth,0.0475,1.1682,1.1207
Bryant,0.165,1.214,1.049,,Drexel,-0.0285,1.0731,1.1016,,Southern Ark.,-0.036,0.9755,1.0115,,Chatham,0.0474,1.1955,1.1481
Princeton,0.1643,1.2279,1.0636,,Idaho,-0.0307,1.1357,1.1664,,Davis & Elkins,-0.039,1.0486,1.0876,,Cairn,0.0472,1.185,1.1378
Oswego St.,0.1641,1.182,1.0179,,Illinois St.,-0.0316,1.0776,1.1092,,UIndy,-0.0394,1.1654,1.2048,,Babson,0.0459,1.0867,1.0408
Norfolk St.,0.1639,1.3461,1.1822,,Southeastern La.,-0.0374,1.1697,1.2071,,Wingate,-0.0421,1.0574,1.0995,,Hardin-Simmons,0.0449,1.0929,1.048
Malone,0.1628,1.3563,1.1935,,Ga. Southern,-0.0377,0.989,1.0267,,Eckerd,-0.0424,0.948,0.9904,,U New England,0.0416,1.1081,1.0665
Xavier,0.1624,1.119,0.9566,,New Mexico St.,-0.0388,0.8445,0.8833,,Northwest Nazarene,-0.0452,0.9563,1.0015,,Clark (MA),0.0401,1.099,1.0589
Marshall,0.1585,1.1178,0.9593,,Miami (OH),-0.0401,1.0405,1.0806,,Saint Leo,-0.0454,1.0186,1.064,,Carthage,0.037,0.9393,0.9023
St. Cloud St.,0.157,1.1715,1.0145,,Abilene Christian,-0.0411,1.1505,1.1916,,West Virginia St.,-0.0475,1.0329,1.0804,,SUNY Poly,0.0345,1.2293,1.1948
Hanover,0.1569,1.3134,1.1565,,Holy Cross,-0.0415,1.1267,1.1682,,Fort Hays St.,-0.0476,1.1027,1.1503,,Capital,0.0343,1.0627,1.0284
Wis. Lutheran,0.1544,1.1538,0.9994,,Brown,-0.0418,0.9922,1.034,,Minot St.,-0.0481,1.0096,1.0577,,Lasell,0.0339,0.9831,0.9492
Campbell,0.1543,1.068,0.9137,,Loyola Maryland,-0.042,1.0774,1.1194,,San Fran. St.,-0.0548,1.0214,1.0762,,St. Lawrence,0.0332,0.8423,0.8091
Hamilton,0.154,1.1819,1.0279,,CSUN,-0.0442,1.0255,1.0697,,Lincoln (MO),-0.0582,1.0356,1.0938,,Saint Vincent,0.033,1.0877,1.0547
North Dakota St.,0.1531,1.2461,1.093,,Harvard,-0.0443,1.0476,1.0919,,Northwood,-0.0586,1.0089,1.0675,,St. John Fisher,0.032,0.9497,0.9177
Bowling Green,0.1521,1.1712,1.0191,,Queens (NC),-0.0452,0.9893,1.0345,,Wheeling,-0.0598,0.979,1.0388,,Hope,0.0302,1.0576,1.0274
New Mexico St.,0.1493,0.9398,0.7905,,Southern Ill.,-0.0456,0.937,0.9826,,Mo.-St. Louis,-0.0599,1.0032,1.0631,,Wm. Paterson,0.0301,0.945,0.9149
Kennesaw St.,0.1484,0.9966,0.8482,,The Citadel,-0.0461,0.9494,0.9955,,LeMoyne-Owen,-0.0623,1.0995,1.1618,,Carleton,0.0299,1.1473,1.1174
Dartmouth,0.1457,1.1001,0.9544,,Omaha,-0.0476,1.0405,1.0881,,Fayetteville St.,-0.0656,1.0237,1.0893,,Penn St.-Behrend,0.0295,1.1938,1.1643
Albright,0.1449,0.9724,0.8275,,Saint Peter's,-0.049,0.9046,0.9536,,Hawaii Pacific,-0.0705,0.9966,1.0671,,Baruch,0.0231,1.225,1.2019
Southwest Minn. St.,0.1446,1.2031,1.0585,,Seattle U,-0.0492,0.9835,1.0327,,Lander,-0.0731,1.13,1.2031,,Old Westbury,0.0195,0.8966,0.8771
Albion,0.1438,1.1998,1.056,,Presbyterian,-0.0503,1.1126,1.1629,,Sioux Falls,-0.0778,1.0698,1.1476,,Berea,0.0194,1.0565,1.0371
Pace,0.1435,0.9874,0.8439,,Columbia,-0.0507,1.0724,1.1231,,Jefferson,-0.0842,0.9703,1.0545,,Piedmont,0.019,1.0967,1.0777
King's (PA),0.1434,1.2041,1.0607,,Merrimack,-0.0508,0.94,0.9908,,Bloomfield,-0.0866,1.0249,1.1115,,Edgewood,0.0184,1.1536,1.1352
Wesleyan (CT),0.1407,1.0216,0.8809,,Georgia Tech,-0.0525,1.0139,1.0664,,Maryville (MO),-0.0898,1.05,1.1398,,Hiram,0.0174,1.032,1.0146
California,0.1396,1.1652,1.0256,,Bucknell,-0.0541,1.0949,1.149,,Minn.-Crookston,-0.0963,0.9703,1.0666,,Wis.-Eau Claire,0.0164,1.0595,1.0431
Wisconsin,0.1393,1.2417,1.1024,,Delaware,-0.0554,1.1056,1.161,,Barry,-0.0966,0.9661,1.0627,,Concordia-M'head,0.0144,0.8998,0.8854
Lake Erie,0.1391,1.1434,1.0043,,Idaho St.,-0.0561,1.0125,1.0686,,Neb.-Kearney,-0.0972,1.0132,1.1104,,UW-River Falls,0.0139,1.1481,1.1342
Virginia Tech,0.1387,1.0731,0.9344,,Alabama St.,-0.0563,0.9883,1.0446,,Florida Tech,-0.0974,0.9812,1.0786,,Concordia Chicago,0.0132,0.9712,0.958
East Stroudsburg,0.1373,1.0114,0.8741,,Tex. A&M-Commerce,-0.0571,1.0382,1.0953,,Simon Fraser,-0.098,0.9556,1.0536,,Linfield,0.0105,1.2594,1.2489
Trine,0.1347,1.1037,0.969,,Longwood,-0.0579,0.9659,1.0238,,West Florida,-0.1004,0.9027,1.0031,,WestConn,0.01,0.9132,0.9032
Mary Washington,0.1332,1.1968,1.0636,,Montana St.,-0.0585,1.0014,1.0599,,Northwestern Okla.,-0.1047,1.0479,1.1526,,Martin Luther,0.0098,1.0964,1.0866
Ga. Southern,0.1329,1.0637,0.9308,,Louisiana,-0.0602,1.0726,1.1328,,Adams St.,-0.1065,1.0957,1.2022,,Whitman,0.0091,0.9087,0.8996
Kalamazoo,0.1328,1.2241,1.0913,,Charlotte,-0.0612,1.2296,1.2908,,Wayne St. (NE),-0.1069,1.0817,1.1886,,Dominican (IL),0.0078,0.9647,0.9569
Northern Mich.,0.1308,1.1116,0.9808,,Western Mich.,-0.0621,1.0456,1.1077,,Elizabeth City St.,-0.1078,0.9069,1.0147,,Lehman,0.0059,0.9649,0.959
St. Thomas (MN),0.13,1.1092,0.9792,,Elon,-0.065,1.0246,1.0896,,Cameron,-0.1122,0.9353,1.0475,,SUNY Geneseo,0.0059,1.0343,1.0284
Radford,0.1297,1.188,1.0583,,Bowling Green,-0.0662,1.0391,1.1053,,Southern Wesleyan,-0.1133,0.9908,1.1041,,Carroll (WI),0.0029,1.1436,1.1407
Colgate,0.1292,1.1654,1.0362,,Coastal Carolina,-0.0663,1.0194,1.0857,,Johnson C. Smith,-0.1134,0.9849,1.0983,,Pitt.-Bradford,0.0019,1.0338,1.0319
WashU,0.1282,1.1335,1.0053,,Richmond,-0.0668,0.894,0.9608,,Savannah St.,-0.1153,0.9302,1.0455,,Lynchburg,0.0007,0.9321,0.9314
Wofford,0.1252,1.0774,0.9522,,LMU (CA),-0.0677,0.9214,0.9891,,Northwest Mo. St.,-0.1167,0.8902,1.0069,,Franciscan,-0.0014,1.0398,1.0412
Northwestern St.,0.124,0.9947,0.8707,,St. Thomas (MN),-0.0678,0.9624,1.0302,,Cal St. San Marcos,-0.1171,0.9421,1.0592,,Bridgewater (VA),-0.0024,0.9479,0.9503
Stockton,0.1231,1.0133,0.8902,,American,-0.0679,1.0437,1.1116,,Quincy,-0.1171,0.9217,1.0388,,Shenandoah,-0.0024,0.9687,0.9711
Mt. St. Joseph,0.123,1.0132,0.8902,,Marshall,-0.0696,0.9853,1.0549,,Flagler,-0.1176,0.9174,1.035,,Stevenson,-0.004,1.1113,1.1153
Nebraska,0.1229,1.0408,0.9179,,Southern Ind.,-0.0717,1.089,1.1607,,Emory & Henry,-0.1179,0.9335,1.0514,,Occidental,-0.0041,1.0499,1.054
UNI,0.1225,0.9968,0.8743,,Siena,-0.072,0.9777,1.0497,,UC-Colo. Springs,-0.1195,0.9595,1.079,,Ohio Wesleyan,-0.0049,1.2265,1.2314
Belmont,0.1218,1.3182,1.1964,,Tulane,-0.0724,0.9383,1.0107,,American Int'l,-0.1231,0.9878,1.1109,,Springfield,-0.0066,0.8802,0.8868
Michigan Tech,0.1214,1.0874,0.966,,CSU Bakersfield,-0.0732,0.9954,1.0686,,Emporia St.,-0.126,0.9987,1.1247,,Nichols,-0.0114,1.0341,1.0455
Loyola Chicago,0.1213,1.0838,0.9625,,Pepperdine,-0.0733,1.05,1.1233,,AUM,-0.129,1.0805,1.2095,,North Park,-0.0117,0.9871,0.9988
Saint Joseph's,0.1197,1.1174,0.9977,,Utah Valley,-0.0738,1.0073,1.0811,,Salem (WV),-0.1337,0.9503,1.084,,Mary Hardin-Baylor,-0.0127,1.005,1.0177
Miami (FL),0.1162,1.2723,1.1561,,Georgia St.,-0.0793,0.9564,1.0357,,Menlo,-0.1348,0.9048,1.0396,,RIT,-0.0133,1.0083,1.0216
Longwood,0.1146,1.0377,0.9231,,William & Mary,-0.0808,1.2201,1.3009,,D'Youville,-0.1375,1.1466,1.2841,,Emerson,-0.0135,1.0023,1.0158
Kansas St.,0.1135,1.1704,1.0569,,Wright St.,-0.0843,1.0816,1.1659,,Augusta,-0.1387,1.1209,1.2596,,Sewanee,-0.0143,1.0645,1.0788
North Georgia,0.1131,1.0912,0.9781,,Sacred Heart,-0.086,1.0541,1.1401,,Fort Lewis,-0.1421,0.9693,1.1114,,Millikin,-0.0145,0.9766,0.9911
Lewis,0.1121,1.3066,1.1945,,UC Davis,-0.0864,0.9255,1.0119,,Lees-McRae,-0.1453,0.9649,1.1102,,Ithaca,-0.0167,1.0306,1.0473
McKendree,0.1119,1.0825,0.9706,,Austin Peay,-0.0864,1.0192,1.1056,,Tex. A&M Int'l,-0.1488,1.0881,1.2369,,Whitworth,-0.0188,1.2234,1.2422
Southern Ind.,0.1113,1.1803,1.069,,Southern U.,-0.0912,0.9796,1.0708,,Chowan,-0.1489,1.1313,1.2802,,MIT,-0.02,1.0131,1.0331
Manchester,0.1112,1.0916,0.9804,,Army West Point,-0.0918,0.9789,1.0707,,South Dakota Mines,-0.149,0.9433,1.0923,,Maryville (TN),-0.0204,1.114,1.1344
Rowan,0.1111,1.1705,1.0594,,Missouri St.,-0.0923,0.9788,1.0711,,Chadron St.,-0.1498,1.0185,1.1683,,VTSU Castleton,-0.0221,1.0603,1.0824
Ky. Wesleyan,0.1106,1.2757,1.1651,,Hampton,-0.0924,1.0435,1.1359,,Southwestern Okla.,-0.1515,1.0329,1.1844,,Rose-Hulman,-0.0227,0.9647,0.9874
Washington,0.1092,1.0135,0.9043,,Cornell,-0.093,1.1387,1.2317,,Cal St. Monterey Bay,-0.1526,1.0989,1.2515,,Southern Va.,-0.0231,1.1953,1.2184
Ashland,0.1082,1.0854,0.9772,,Lafayette,-0.0935,0.975,1.0685,,Sonoma St.,-0.1544,1.0288,1.1832,,JWU (Providence),-0.0248,0.9328,0.9576
UMass Lowell,0.1078,1.2128,1.105,,Nicholls,-0.0952,0.9404,1.0356,,Bloomsburg,-0.1573,0.9432,1.1005,,Muskingum,-0.0257,1.0956,1.1213
Saint Peter's,0.1075,1.0563,0.9488,,UC Riverside,-0.0973,0.9625,1.0598,,Shaw,-0.161,0.9162,1.0772,,Vassar,-0.0261,1.017,1.0431
Southern California,0.1075,1.1648,1.0573,,UMass Lowell,-0.0975,1.1561,1.2536,,Mississippi Col.,-0.1638,0.9902,1.154,,Methodist,-0.0275,0.9456,0.9731
Texas,0.1066,1.1881,1.0815,,FIU,-0.1006,1.0488,1.1494,,UNC Pembroke,-0.168,0.9983,1.1663,,Eastern,-0.0279,1.0574,1.0853
Tampa,0.1064,1.2076,1.1012,,Wofford,-0.1028,0.9955,1.0983,,Jamestown,-0.1691,1.0291,1.1982,,Eureka,-0.0286,0.9855,1.0141
Charleston (WV),0.1048,1.3167,1.2119,,North Dakota St.,-0.1031,1.0793,1.1824,,Barton,-0.1714,0.9239,1.0953,,Knox,-0.0301,0.9515,0.9816
Northeastern,0.1028,1.0385,0.9357,,Ball St.,-0.1054,0.9441,1.0495,,Alas. Fairbanks,-0.1734,0.9804,1.1538,,LeTourneau,-0.0309,1.0073,1.0382
St. Anselm,0.101,1.1141,1.0131,,UMBC,-0.1066,1.0443,1.1509,,Chestnut Hill,-0.1737,0.8999,1.0736,,Purchase,-0.0336,0.9532,0.9868
Lee,0.1004,1.0884,0.988,,Pacific,-0.1074,0.9437,1.0511,,Seattle Pacific,-0.1737,1.0533,1.227,,York (PA),-0.0342,1.0564,1.0906
Creighton,0.1003,1.0921,0.9918,,Northern Ky.,-0.1083,0.8957,1.004,,King (TN),-0.1742,0.9965,1.1707,,Wittenberg,-0.0354,1.0658,1.1012
Niagara,0.0998,1.1316,1.0318,,Chattanooga,-0.1094,0.9661,1.0755,,Shippensburg,-0.175,0.9149,1.0899,,Bethel (MN),-0.0362,1.088,1.1242
Western Ky.,0.0997,1.0172,0.9175,,Jacksonville St.,-0.117,1.1113,1.2283,,Alas. Anchorage,-0.1754,0.8352,1.0106,,Hilbert,-0.0376,1.1159,1.1535
Southern Utah,0.0981,1.1038,1.0057,,Niagara,-0.118,1.022,1.14,,Spring Hill,-0.1775,1.287,1.4645,,Nazareth,-0.0402,1.0644,1.1046
Buffalo,0.0976,1.2069,1.1093,,SFA,-0.1199,0.889,1.0089,,Virginia St.,-0.1794,0.8994,1.0788,,Pacific (OR),-0.0423,0.9934,1.0357
Lenoir-Rhyne,0.0975,1.1751,1.0776,,Ohio,-0.121,1.1347,1.2557,,Central St. (OH),-0.1803,0.9692,1.1495,,Greenville,-0.0439,1.0967,1.1406
South Carolina,0.0969,1.1665,1.0696,,Jacksonville,-0.1231,0.9339,1.057,,Roberts Wesleyan,-0.1815,1.1078,1.2893,,Kenyon,-0.046,0.9411,0.9871
VMI,0.0967,1.1434,1.0467,,Maine,-0.1242,0.979,1.1032,,Ark.-Monticello,-0.1837,0.7543,0.938,,Keystone,-0.0467,1.0983,1.145
Hofstra,0.0959,1.06,0.9641,,Iona,-0.126,0.9822,1.1082,,Cal St. East Bay,-0.1898,0.8662,1.056,,UMass Boston,-0.047,1.0072,1.0542
